,Politician,Traded Issuer,Published,Traded,Filed After,Owner,Type,Size,Price
108,Max MillerRepublicanHouseOH,TRIMER CAPITAL PARTNERS I LP N/A,2 Jul2025,12 Jun2025,days19,Undisclosed,buy,1K–15K,N/A
109,Max MillerRepublicanHouseOH,TRIMER CAPITAL PARTNERS I LP N/A,2 Jul2025,30 Jun2025,days1,Undisclosed,buy,1K–15K,N/A
110,Cleo FieldsDemocratHouseLA,Alphabet IncGOOGL:US,2 Jul2025,5 Jun2025,days26,Undisclosed,buy,15K–50K,$169.81
111,Cleo FieldsDemocratHouseLA,Alphabet IncGOOGL:US,2 Jul2025,25 Jun2025,days6,Undisclosed,buy,50K–100K,$171.49
112,Cleo FieldsDemocratHouseLA,Amazon.com IncAMZN:US,2 Jul2025,25 Jun2025,days6,Undisclosed,buy,100K–250K,$211.99
113,Cleo FieldsDemocratHouseLA,Amazon.com IncAMZN:US,2 Jul2025,25 Jun2025,days6,Undisclosed,buy,100K–250K,$211.99
114,Cleo FieldsDemocratHouseLA,Amazon.com IncAMZN:US,2 Jul2025,9 Jun2025,days22,Undisclosed,buy,100K–250K,$216.98
115,Cleo FieldsDemocratHouseLA,Amazon.com IncAMZN:US,2 Jul2025,25 Jun2025,days6,Undisclosed,buy,100K–250K,$211.99
116,Cleo FieldsDemocratHouseLA,Amazon.com IncAMZN:US,2 Jul2025,5 Jun2025,days26,Undisclosed,buy,100K–250K,$207.91
117,Cleo FieldsDemocratHouseLA,Amazon.com IncAMZN:US,2 Jul2025,9 Jun2025,days22,Undisclosed,buy,50K–100K,$216.98
118,Cleo FieldsDemocratHouseLA,Amazon.com IncAMZN:US,2 Jul2025,30 Jun2025,days1,Undisclosed,buy,100K–250K,$219.39
119,Cleo FieldsDemocratHouseLA,Apple IncAAPL:US,2 Jul2025,9 Jun2025,days22,Undisclosed,buy,1K–15K,$201.45
120,Cleo FieldsDemocratHouseLA,Apple IncAAPL:US,2 Jul2025,9 Jun2025,days22,Undisclosed,buy,1K–15K,$201.45
