politician_name,ticker,est_trade_size,report_date,open_price,close_date,close_price,return_factor,running_return,running_stdev,running_rr_ratio,pct_trade_size
Virginia Foxx,MO,8000.0,2023-07-31,38.58987808227539,2023-08-10,37.3154525756836,0.9669751351928437,0.9211961178106318,0.11262070518487848,8.179633720978693,0.05
Bill Keating,ISRG,8000.0,2023-08-01,323.95001220703125,2023-08-19,286.6700134277344,0.8849205205293469,0.9869392104671861,0.1118168750024217,8.826388775806972,0.05
Tom Carper,VZ,8000.0,2023-08-02,29.10730743408203,2023-08-09,28.574432373046875,0.9816927394523889,0.9873371070547207,0.06637620999162283,14.874864159603717,0.05
Tom Carper,FNF,8000.0,2023-08-02,36.28852462768555,2023-08-09,37.896602630615234,1.0443136782062183,0.987740276169173,0.06886278609815878,14.3436002540069,0.05
Bob Latta,FMAO,8000.0,2023-08-07,19.37013816833496,2023-08-19,17.892990112304688,0.9237409644064895,0.9573088618784903,0.0436256755618667,21.94370286646692,0.05
Ro Khanna,BAX,8000.0,2023-08-09,40.72874450683594,2023-08-30,39.77164840698242,0.9765007217521061,1.0109943719804335,0.06695593490308814,15.099398932204357,0.05
Ro Khanna,BAX,8000.0,2023-08-09,40.72874450683594,2023-08-30,39.77164840698242,0.9765007217521061,1.0110261926909763,0.06697863164163709,15.094757356351762,0.05
Ro Khanna,EPAM,8000.0,2023-08-09,239.5200042724609,2023-08-27,245.3699951171875,1.0244238090363094,1.0110580721655273,0.0670013474552433,15.090115506123382,0.05
Ro Khanna,NEM,8000.0,2023-08-09,37.75591278076172,2023-08-27,36.93286895751953,0.9782009290035873,1.01127915494235,0.06704174312236696,15.08432072084593,0.05
Ro Khanna,PYPL,8000.0,2023-08-09,62.02000045776367,2023-08-27,61.66999816894531,0.994356622279345,1.0110457193588076,0.06703109692125767,15.083233988345688,0.05
Ro Khanna,MCD,8000.0,2023-08-09,275.0809936523437,2023-08-27,270.738525390625,0.9842138556936912,1.011685189074803,0.06708502331880653,15.080641535548047,0.05
Ro Khanna,SPGI,8000.0,2023-08-09,381.5388488769531,2023-08-27,385.1607666015625,1.0094929198829172,1.011309896788018,0.06706532309764417,15.079475503541454,0.05
Ro Khanna,CBRE,8000.0,2023-08-09,84.08000183105469,2023-08-27,84.58999633789062,1.006065586295546,1.011896611695505,0.06710800760285306,15.078626945444956,0.05
Ro Khanna,APH,8000.0,2023-08-09,43.45561599731445,2023-08-27,42.57609176635742,0.9797604012560451,1.011061157931499,0.06706019804762556,15.07691875907453,0.05
Ro Khanna,BAX,32500.0,2023-08-09,40.72874450683594,2023-08-27,39.46841049194336,0.9690554169996317,1.0117110079971536,0.06711127638165909,15.07512690182786,0.05
Tommy Tuberville,PFE,8000.0,2023-08-14,31.827634811401367,2023-08-24,31.907041549682617,1.00249489912624,0.9962215694383304,0.05872769547687243,16.96340306475422,0.05
Tommy Tuberville,FGBI,8000.0,2023-08-14,11.01825714111328,2023-08-24,10.367387771606444,0.9409281013166596,0.9841452437963762,0.05905520071829557,16.664836150349135,0.05
Tommy Tuberville,KEY,8000.0,2023-08-14,9.840167999267578,2023-08-24,9.70622730255127,0.98638837297023,0.9859459580663644,0.059620122965537176,16.537133924334253,0.05
Tommy Tuberville,CLF,75000.0,2023-08-14,15.979999542236328,2023-08-23,15.170000076293944,0.9493116715177935,0.9958730511223354,0.06041007846025704,16.485213668072067,0.05
Tommy Tuberville,VZ,8000.0,2023-08-14,29.316972732543945,2023-08-24,29.159730911254883,0.9946364918805374,0.9909294065318645,0.06062037749909122,16.346473700971586,0.05
Tommy Tuberville,HUMA,8000.0,2023-08-14,4.039999961853027,2023-08-24,3.630000114440918,0.8985148882961734,0.98085176858483,0.06024979266187447,16.279753427359168,0.05
Tommy Tuberville,MMM,8000.0,2023-08-14,80.27641296386719,2023-08-24,77.6008529663086,0.9666706583070312,0.9859267226357616,0.060959992168785455,16.173340703619793,0.05
Tommy Tuberville,HUMA,8000.0,2023-08-14,4.039999961853027,2023-08-24,3.630000114440918,0.8985148882961734,0.977802254500065,0.061167868725369286,15.985553769908005,0.05
Tommy Tuberville,FGBI,8000.0,2023-08-14,11.01825714111328,2023-08-24,10.367387771606444,0.9409281013166596,0.9737966848660201,0.06107960520978961,15.9430743129614,0.05
Tommy Tuberville,WBA,8000.0,2023-08-14,25.78666305541992,2023-08-24,22.86429214477539,0.8866712259603402,0.9907440522644307,0.062189089310778226,15.931155500820642,0.05
Kevin Hern,JPM,8000.0,2023-08-17,141.79916381835938,2023-08-30,141.35072326660156,0.9968374950903642,1.0103370111022834,0.04836951088447102,20.887889760048225,0.05
Michael McCaul,GOOGL,75000.0,2023-08-18,126.70013427734376,2023-08-27,130.2289581298828,1.0278517767377777,0.997233383579169,0.04349211087597925,22.929063765675775,0.05
Michael McCaul,CMG,175000.0,2023-08-18,36.98400115966797,2023-08-30,38.77140045166016,1.048328986479197,0.9977948737209276,0.04358022500200901,22.895587934090063,0.05
Michael McCaul,CMG,75000.0,2023-08-18,36.98400115966797,2023-08-30,38.77140045166016,1.048328986479197,0.9983441575552565,0.043659166930301405,22.866770663513538,0.05
Michael McCaul,T,32500.0,2023-08-18,12.55980396270752,2023-08-27,12.702834129333496,1.0113879298634485,0.9968893566897465,0.04361520149163767,22.85646569535807,0.05
Michael McCaul,FI,32500.0,2023-08-18,120.08000183105467,2023-08-27,122.73999786376952,1.022151865357708,0.9967246001764088,0.04383728444365933,22.73691477074548,0.05
Michael McCaul,ADP,32500.0,2023-08-18,240.4713897705078,2023-08-27,243.67068481445312,1.0133042647900798,0.9964323327605319,0.044005096925667585,22.643566367861496,0.05
Michael McCaul,FI,32500.0,2023-08-18,120.08000183105467,2023-08-27,122.73999786376952,1.022151865357708,0.9962361475043744,0.04422490696334436,22.526585490165097,0.05
Michael McCaul,T,175000.0,2023-08-18,12.55980396270752,2023-08-27,12.702834129333496,1.0113879298634485,0.9959312567060998,0.04439635840883769,22.43272404314689,0.05
Michael McCaul,GOOGL,75000.0,2023-08-18,126.70013427734376,2023-08-27,130.2289581298828,1.0278517767377777,0.9957472486923219,0.04463038632881518,22.310970856405678,0.05
Michael McCaul,DOW,8000.0,2023-08-18,47.76493835449219,2023-08-26,48.277774810791016,1.0107366715830923,0.9953604471496056,0.044759820568190736,22.237811378917232,0.05
Michael Guest,CHRD,32500.0,2023-08-24,140.75607299804688,2023-09-03,147.29177856445312,1.046432849590063,1.046432849590063,0.0,inf,0.05
Michael Guest,NVDA,8000.0,2023-08-24,47.13399505615234,2023-09-06,47.03593444824219,0.9979195354055321,1.0281734546610082,0.04774140548733593,21.53630468490806,0.05
Michael Guest,WMT,8000.0,2023-08-24,51.10183334350586,2023-09-06,52.59362411499024,1.0291925098157748,1.0328245771187987,0.04867252575939158,21.219868108437144,0.05
Michael Guest,NEE,8000.0,2023-08-24,63.30686569213867,2023-09-06,62.294551849365234,0.984009414591834,1.0299530969701538,0.048591389270222364,21.196206003546532,0.05
Michael Guest,LNC,8000.0,2023-08-24,22.68804931640625,2023-09-06,22.62599372863769,0.9972648337059244,1.0292262292446965,0.048648588415804855,21.15634312855671,0.05
Michael Guest,PR,8000.0,2023-08-24,12.229381561279297,2023-09-08,13.257761001586914,1.0840908786069505,1.0313364080663219,0.04886503831776339,21.105813963751892,0.05
Michael Guest,VLO,8000.0,2023-08-24,121.74128723144533,2023-09-06,126.038818359375,1.0353005231475787,1.0305579540588121,0.04922722343691838,20.93471624251585,0.05
Michael Guest,ORCL,8000.0,2023-08-24,110.23565673828124,2023-09-06,121.3851547241211,1.1011423918152974,1.0320139250375497,0.0493239525497184,20.923179747147852,0.05
Michael Guest,LOW,8000.0,2023-08-24,214.30458068847656,2023-09-06,220.68653869628903,1.029779848789558,1.0368020709349233,0.050069985140653306,20.707057691796933,0.05
Michael Guest,MCD,8000.0,2023-08-24,269.46923828125,2023-09-06,264.2878112792969,0.9807717309960806,1.0330667149390005,0.050370874579907125,20.50920742502036,0.05
Lois Frankel,KVUE,8000.0,2023-08-28,21.25397109985352,2023-09-09,20.42120361328125,0.9608182639065502,0.9920766498180253,0.05135132485932053,19.31939735802081,0.05
Lois Frankel,KVUE,8000.0,2023-08-28,21.25397109985352,2023-09-02,20.920869827270508,0.9843275747850572,0.9931185960150746,0.051894820915634354,19.137142753216008,0.05
Lois Frankel,KVUE,8000.0,2023-08-28,21.25397109985352,2023-09-01,21.24471664428711,0.9995645775783296,0.9934217346781785,0.052786346227510605,18.81967223866004,0.05
Doug Lamborn,NTAP,32500.0,2023-08-31,73.60748291015625,2023-09-07,75.6803970336914,1.0281617308672995,0.9992546703681772,0.03986570600505432,25.06552048122484,0.05
